Name,Stolen Bases,Rank
Larry Herndon,92,975
Lefty Marr,92,976
Johnny Rawlings,92,977
Brice Turang,92,978
Farmer Vaughn,92,979
Jimmy Walsh,92,980
Jo-Jo White,92,981
Ralph Young,92,982
Jay Bell,91,983
Asdrubal Cabrera,91,984
Alejandro De Aza,91,985
César Hernández,91,986
Bobby Higginson,91,987
Cleon Jones,91,988
Ryan Klesko,91,989
Al Newman,91,990
Heinie Peitz,91,991
Luis Robert Jr.,91,992
Benito Santiago,91,993
John Stearns,91,994
Ozzie Albies,90,995
Bob Bailor,90,996
Tony Boeckel,90,997
Donn Clendenon,90,998
Josh Harrison,90,999
Shane Mack,90,1000
Mike Menosky,90,1001
Chris Taylor,90,1002
Billy Williams,90,1003
Michael Young,90,1004
